Customer_ID,Customer_Name,Birth_Date,Marital_Status,annual_income,Total_Children,Education_Level,Occupation,Home_Owner
BB112,Ramdin Verma,1966-04-08,M,"30,41,590",2,Bachelors,Professional,Y
BB113,Sharat Chandran,1965-05-14,S,"25,59,363",0,Bachelors,Professional,N
BB114,Birender Mandal,1965-08-12,M,"34,73,324",3,Bachelors,Professional,Y
BB115,Shiv Prakash,1968-02-15,S,"25,54,003",0,Bachelors,Professional,N
BB116,Vikram Singh,1968-08-08,S,"16,70,016",0,Bachelors,Professional,Y
BB117,Ram Dutt Gupta,1965-08-05,S,"20,90,426",0,Bachelors,Professional,Y
BB118,Khadak Singh,1964-05-09,M,"31,21,547",3,Bachelors,Professional,Y
BB119,Gurmit Singh,1964-07-07,S,"26,97,368",0,Bachelors,Professional,Y
BB120,Nahar Singh,1964-04-01,S,"32,02,939",0,Bachelors,Professional,N
BB121,Ram Kumar,1964-02-06,S,"16,48,102",0,Bachelors,Professional,N
BB122,Sunder Paal,1963-11-04,M,"28,45,682",4,Bachelors,Professional,Y
BB123,Maansingh Aswal,1968-01-18,M,"8,31,201",2,Bachelors,Management,Y
BB124,Punit Khandelwal,1968-08-06,M,"7,36,666",2,Bachelors,Management,Y
BB125,Arvind Kumar Yadav,1968-05-09,S,"32,59,659",0,Bachelors,Management,N
BB126,Shiv Shakti Singh,1979-02-27,S,"4,37,527",0,Partial College,Skilled Manual,N
BB127,Moti Lal,1979-04-28,M,"7,58,313",0,Partial College,Skilled Manual,Y
BB128,Kausal Kumar,1944-06-26,S,"4,46,088",0,High School,Skilled Manual,Y
BB129,Mohabbat Ali,1944-10-09,S,"26,09,624",0,Partial College,Clerical,Y
BB130,Raj Kumar,1978-03-07,S,"10,10,076",0,High School,Skilled Manual,N
BB131,Jaswant Singh,1978-09-20,S,"20,75,867",0,High School,Skilled Manual,N
BB132,Sevak Lal,1978-09-03,S,"30,95,997",0,Partial College,Skilled Manual,N
BB133,Dharam Singh,1978-10-12,M,"7,86,094",0,Partial College,Skilled Manual,Y
BB134,Manoj Yadav,1978-10-11,M,"20,56,341",0,Partial College,Skilled Manual,Y
BB135,Ram Singh,1978-09-17,M,"29,83,097",0,Partial College,Skilled Manual,Y
BB136,Preetam Kumar,1945-12-23,M,"2,97,536",2,Partial High School,Clerical,Y
BB137,Pankaj Kumar,1946-04-03,S,"12,47,379",0,Partial College,Clerical,N
BB138,Sheak Shakir,1946-12-07,M,"22,74,013",2,Partial College,Clerical,Y
BB139,Riyasat Ali,1946-04-11,M,"14,17,266",2,Partial College,Clerical,Y
BB140,Vinit Katariya,1946-12-21,M,"7,33,913",2,Partial College,Clerical,Y
BB141,Kali Charan,1947-02-22,M,"10,64,668",2,Partial High School,Clerical,Y
BB142,Badshya Khan,1947-08-22,M,"6,97,299",4,High School,Skilled Manual,Y
BB143,Devinder Chadda,1947-06-11,M,"7,43,499",4,High School,Skilled Manual,Y
BB144,Mohan Singh,1947-09-23,M,"13,91,138",4,High School,Skilled Manual,Y
BB145,Yash Mittal,1947-06-19,M,"32,35,988",4,High School,Skilled Manual,Y
BB146,Sumit Mitra,1948-02-24,M,"17,61,584",2,Partial High School,Clerical,Y
BB147,Supriyal Sen,1978-12-18,M,"24,87,519",0,Partial College,Skilled Manual,Y
BB148,Gajender Singh Goldy,1977-11-27,S,"23,11,588",0,Partial High School,Clerical,N
BB149,Pooran Chand Sharma,1948-03-23,M,"23,88,355",2,Partial High School,Clerical,Y
BB150,Mukul Yadav,1948-12-17,M,"12,75,097",3,Partial College,Clerical,Y
BB151,Sanjay Charee,1977-08-01,M,"29,03,546",0,Partial College,Skilled Manual,Y
BB152,Raja Babu,1977-10-16,M,"15,21,551",0,Partial College,Skilled Manual,Y
BB153,Rajkumar Chawla,1977-06-13,M,"7,37,197",0,Partial College,Skilled Manual,Y
BB154,Mohd Ataullah,1976-02-24,M,"32,74,547",0,Partial College,Skilled Manual,Y
BB155,Neeraj Kumar,1949-05-24,M,"5,48,493",2,Partial High School,Clerical,Y
BB156,Jamil Khan,1950-05-19,S,"17,82,271",0,High School,Skilled Manual,N
BB157,Rijul Aggarwal,1950-03-22,M,"22,42,315",3,High School,Skilled Manual,Y
BB158,Mohd Shakib,1950-02-27,M,"12,13,152",3,High School,Skilled Manual,N
BB159,Rahul Kumar,1950-11-22,M,"31,89,169",3,High School,Skilled Manual,Y
BB160,Md Mustafa,1980-07-18,S,"5,58,867",0,Partial High School,Clerical,Y
BB161,Har Parsad,1951-09-07,M,"11,20,670",3,High School,Skilled Manual,Y
BB162,Shelender Yadav,1951-08-04,S,"20,62,288",0,High School,Skilled Manual,N
BB163,Mohd Aakib,1951-08-07,S,"23,16,734",0,Partial College,Clerical,N
BB164,Surender Singh Chauhan,1980-08-20,M,"24,48,408",0,Partial College,Skilled Manual,N
BB165,Rahul Sharma,1952-03-10,M,"7,90,233",2,Partial College,Skilled Manual,Y
BB166,Keshar Ansari,1952-03-05,M,"17,35,219",2,Partial College,Skilled Manual,Y
BB167,Raju Chhotu,1953-04-03,M,"13,10,331",3,Partial College,Skilled Manual,Y
BB168,Kuldeep Singh,1953-10-12,M,"23,03,187",2,Graduate Degree,Management,Y
BB169,Lalit Rana,1954-04-27,M,"32,29,780",2,Partial College,Skilled Manual,Y
BB170,Pulkit Sharma,1954-04-01,S,"23,53,556",0,Partial College,Skilled Manual,Y
BB171,Aman Soni Badal,1954-03-17,M,"22,54,473",2,Partial College,Skilled Manual,Y
BB172,Jahoor Ahmed Meer,1954-02-27,M,"14,94,254",2,Partial College,Skilled Manual,Y
BB173,Kailash Kumar,1975-09-02,M,"33,66,320",0,High School,Skilled Manual,Y
BB174,Bhagwati Prasad,1975-04-07,S,"21,07,454",0,High School,Skilled Manual,Y
BB175,Dipendra Kumar,1975-12-07,M,"5,82,453",0,High School,Skilled Manual,Y
BB176,Doodhnath Pandit,1973-10-09,M,"10,69,554",0,Partial College,Skilled Manual,N
BB177,Aslam Allam,1973-11-27,M,"19,98,665",0,Partial College,Professional,Y
BB178,Jitender Kumar,1976-09-25,S,"20,78,695",0,Partial College,Professional,Y
BB179,Rakesh Sarkar,1955-09-23,S,"14,24,428",0,High School,Skilled Manual,Y
BB180,Akash Gupta,1955-09-21,S,"17,85,156",0,High School,Skilled Manual,N
